stakeholder goal,unique phrases,interviewer goal,from stakeholder,unmatched phrase,total turns,multi-turn goal,type errors,from interviewer,total phrases
4,7,0,7,,114,,,0,7
4,4,0,4,,114,,,0,4
4,9,0,9,1,114,,,0,10
1,4,0,4,1,114,,,0,5
2,2,0,2,,114,,,0,2
5,5,0,5,,114,,,0,5
7,10,0,10,,114,,,0,10
5,7,1,6,,114,1,,1,7
2,8,0,5,,114,2,,3,8
2,6,0,6,,114,,,0,6
,,,,,114,,,,
,,,,,114,,,,
1,3,0,3,1,114,,,0,4
4,4,0,4,,114,,,0,4
,,,,,114,,2,,
3,5,0,5,,114,,,0,5
4,7,0,7,,114,,,0,7
,,,,,114,,2,,
,,,,,114,,,,
,,,,,114,,2,,
,,,,,114,,2,,
,,,,,114,,2,,
,,,,,114,,,,
,,,,,114,,2,,
2,4,0,4,,114,,,0,4
4,4,0,4,,114,,,0,4
2,3,0,3,,114,,,0,3
,,,,,114,,,,
,,,,,114,,2,,
3,4,0,3,,114,1,,1,4
2,3,0,2,,114,1,,1,3
3,3,0,3,,114,,,0,3
3,5,0,6,,114,1,,1,6
2,6,1,4,,114,,,2,6
3,7,0,5,,114,2,,2,7
1,3,0,3,1,114,,,0,4
,,,,,114,,2,,
2,4,0,4,,114,,,0,4
2,4,0,4,1,114,,,0,5
2,3,0,3,,114,,,0,3
2,5,1,3,,114,,,2,5
2,3,0,3,,114,,,0,3
2,4,0,4,,114,,,0,4
2,5,0,4,,114,1,,3,6
1,5,1,3,,114,2,,2,5
2,2,0,2,,114,,,0,2
1,5,3,4,,114,3,,3,6
0,2,2,0,,114,,,2,2
2,3,0,2,,114,1,,1,3
2,4,0,3,,114,1,,1,4
2,2,0,2,,114,,,0,2
,,,,,114,,2,,
,,,,,114,,2,,
,,,,,114,,,,
,,,,,78,,,,
,,,,,78,,,,
3,3,0,3,,78,,,0,3
3,3,0,3,,78,,,0,3
,,,,,78,,,,
2,3,0,3,,78,,,0,3
3,5,0,5,,78,,,0,5
2,3,0,3,,78,,,0,3
3,5,0,5,,78,,,0,5
2,3,0,3,,78,,,0,3
,,,,,78,,2,,
1,2,0,1,1,78,1,,1,3
,,,,,78,,2,,
,,,,,78,,,,
,,,,,78,,,,
,,,,,78,,2,,
3,4,0,4,,78,,,0,4
2,3,0,3,,78,,,0,3
,,,,,78,,2,,
,,,,,78,,,,
