total phrases,total turns,interviewer goal,goal mismatch,no phrases,unmatched phrase,multi-turn goal,unique phrases,from interviewer,from stakeholder,stakeholder goal
1,114,0,,,,,1,0,1,1
2,114,0,,,,,2,0,2,1
5,114,0,,,,,5,0,5,4
2,114,0,,,,,2,0,2,2
1,114,0,,,,,1,0,1,1
5,114,0,,,,,5,0,5,3
3,114,0,,,,,3,0,3,1
4,114,0,,,,,4,0,4,3
4,114,2,,,,,4,2,2,2
4,114,1,,,,,4,1,3,3
4,114,1,,,,1,4,1,3,2
1,114,1,,,,,1,1,0,0
2,114,0,,,,1,2,1,1,1
2,114,0,,,,1,2,1,1,1
4,114,0,,,,,4,0,4,2
2,114,0,,,,,2,0,2,1
1,114,0,,,,,1,0,1,1
,114,,,,,,,,,
,78,,,,,,,,,
,78,,,,,,,,,
3,78,0,,,,,3,0,3,3
3,78,0,,,,,3,0,3,3
,78,,,,,,,,,
7,78,0,,,,,7,0,7,5
5,78,1,,,,1,5,1,4,3
4,78,0,,,,,4,0,4,3
9,78,1,,,,1,9,1,8,4
6,78,0,,,,,6,0,6,4
6,78,2,,,,2,6,2,4,0
8,78,0,,,,,8,0,8,4
3,78,0,,,,,3,0,3,1
,78,,,,,,,,,
,78,,,,,,,,,
2,78,0,,,,,2,0,2,1
5,78,0,,,,,5,0,5,4
9,78,0,,,,1,9,1,8,7
6,78,1,,,,1,6,1,5,3
1,78,0,,,,,1,0,1,1
3,78,0,,,,,3,0,3,2
2,78,2,,,,,2,2,0,0
2,78,2,,,,,2,2,0,0
2,78,0,,,,,2,0,2,1
8,78,0,,,1,1,7,1,6,2
4,78,1,,,1,1,3,2,1,0
,78,0,1,1,,,,,,0
4,78,0,,,,1,4,1,3,3
6,78,0,,,,,6,0,6,4
2,78,1,,,,1,2,1,1,0
2,78,0,,,,1,2,1,1,1
5,78,0,,,,,5,0,5,3
5,78,3,,,,1,5,3,2,1
4,78,0,,,,1,4,1,3,1
10,78,0,,,,,9,0,11,3
5,78,0,,,,,4,0,6,3
,78,,,,,,,,,
,78,,,,,,,,,
,78,,,,,,,,,
6,65,5,,,,,6,6,0,0
,65,,,,,,,,,
2,65,0,,,,,2,0,2,1
,65,,,,,,,,,
,65,,,,,,,,,
1,65,0,,,,,1,0,1,1
17,65,1,,,4,1,13,1,12,7
6,65,0,,,,,6,0,6,5
12,65,0,,,,,12,0,12,7
14,65,0,,,1,,13,0,13,11
18,65,2,,,1,1,17,2,15,7
16,65,0,,,3,,13,0,13,9
8,65,0,,,,,8,0,8,7
9,65,0,,,,,9,0,9,8
16,65,0,,,,,16,0,16,13
1,65,0,,,,,1,0,1,1
10,65,0,,,,,10,0,10,9
7,65,0,,,,,7,0,7,5
9,65,1,,,,1,9,1,8,4
4,65,0,,,,,4,0,4,2
3,65,0,,,,,3,0,3,2
8,65,0,,,,,8,0,8,5
11,65,0,,,1,,10,0,10,7
4,65,0,,,,,4,0,4,2
8,65,0,,,,,8,0,8,5
10,65,0,,,,,10,0,10,3
3,65,0,,,,,3,0,3,1
2,65,0,,,,,2,0,2,1
6,65,0,,,,,6,0,6,3
6,65,0,,,,,6,0,6,4
4,65,0,,,,,4,0,4,2
,65,,,,,,,,,
,65,,,,,,,,,
,48,,,,,,,,,
2,48,0,,,,,2,0,2,2
9,48,0,,,,,9,0,9,7
9,48,0,,,2,,7,0,7,2
13,48,0,,,,,13,0,13,8
13,48,0,,,,,13,0,13,8
7,48,0,,,,,7,0,7,3
2,48,0,,,,,2,0,2,1
5,48,0,,,1,,4,0,4,4
16,48,0,,,,,16,0,16,9
13,48,0,,,,,13,0,13,10
,48,,,,,,,,,
,48,,,,,,,,,
4,48,0,,,,1,4,1,3,2
2,48,0,,,,,2,0,2,1
2,48,0,,,1,,1,0,1,0
,48,,,,,,,,,
3,48,0,,,,,3,0,3,2
11,48,0,,,,1,11,1,10,5
16,48,0,,,,2,16,2,14,8
1,48,0,,,,,1,0,1,1
4,48,0,,,,,4,0,4,4
4,48,0,,,,,4,0,4,4
,48,,,,,,,,,
4,98,0,,,,,4,0,4,4
3,98,0,,,,,3,0,3,3
3,98,0,,,,,3,0,3,3
,98,,,,,,,,,
,98,,,,,,,,,
4,98,0,,,,,4,0,4,2
2,98,0,,,,,2,0,2,2
,98,,,,,,,,,
,98,,,,,,,,,
1,98,0,,,,,1,0,1,1
7,98,0,,,,,7,0,7,4
3,98,1,1,,,1,3,1,2,0
,98,,,,,,,,,
4,98,0,,,,,4,0,4,2
1,98,0,,,,,1,0,1,1
3,98,0,,,,,3,0,3,3
,98,,,,,,,,,
,98,,,,,,,,,
,98,,,,,,,,,
,98,,,,,,,,,
2,98,0,,,,,2,0,2,1
2,98,0,,,,,2,0,2,1
,98,,,,,,,,,
3,98,0,,,,,3,0,3,1
3,98,0,,,,,3,0,3,2
2,98,0,,,1,,1,0,1,0
4,98,0,,,,1,4,1,3,2
3,98,0,,,,,3,0,3,2
2,98,0,,,,,2,0,2,1
4,98,0,,,1,1,3,1,2,1
2,98,0,,,,,2,0,2,1
,98,,,,,,,,,
1,98,0,,,,,1,0,1,1
7,98,0,,,,,7,0,7,3
3,98,0,,,,,3,0,3,2
2,98,0,,,,,2,0,2,1
1,98,0,,,,,1,0,1,1
3,98,0,,,,,3,0,3,2
1,98,0,,,,,1,0,1,1
2,98,0,1,,,,2,0,2,1
,98,,,,,,,,,
,98,,,,,,,,,
,98,,,,,,,,,
3,98,0,,,,,3,0,3,2
2,98,0,,,,,2,0,2,1
,98,,,,,,,,,
2,98,0,,,1,,1,0,1,1
,98,,,,,,,,,
2,98,0,1,,2,,,0,0,0
1,77,0,,,,,1,0,1,1
4,77,0,,,,,4,0,4,4
